ISO8601,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7,sleepHRV,sleepHRVAvg7,SpO2Avg,SpO2Min,SpO2Max,respAvg,respMin,respMax,tags,notes
2022-01-01T20:59:59-07:00,"Friday, Dec 31, 2021","Saturday, Jan 1, 2022",2021-12-31 23:34:00,2022-01-01 07:41:00,08:07:00,00:51:00,00:00:00,1,07:16:00,07:17:12,89.5,92.9,04:09:47,05:31:09,,,91.2,65.2,73.7,72.4,43.0,55.2,,,22,27,,,,,,,,
2022-01-02T20:59:59-07:00,"Saturday, Jan 1, 2022","Sunday, Jan 2, 2022",2022-01-01 22:30:00,2022-01-02 07:07:00,08:37:00,00:30:00,00:00:00,1,08:07:00,07:25:30,94.2,93.1,05:31:46,05:31:15,02:01:45,02:22:20,57.5,63.9,65.4,71.4,63.0,56.5,,,29,26,,,,,,,,
2022-01-03T20:59:59-07:00,"Sunday, Jan 2, 2022","Monday, Jan 3, 2022",2022-01-02 23:01:00,2022-01-03 07:37:00,08:36:00,00:31:00,00:00:00,1,08:05:00,07:31:08,94.0,93.3,06:17:19,05:37:50,01:46:06,02:16:18,55.8,62.8,,,53.0,56.0,,,46,29,,,,,,,,
2022-01-05T20:59:59-07:00,"Tuesday, Jan 4, 2022","Wednesday, Jan 5, 2022",2022-01-04 22:20:00,2022-01-05 05:22:00,07:02:00,00:07:00,00:00:00,1,06:55:00,07:29:00,98.3,93.2,05:30:57,05:35:04,03:04:27,02:23:10,57.7,62.5,68.8,70.8,56.0,55.7,,,35,30,,,,,,,,
2022-01-06T20:59:59-07:00,"Wednesday, Jan 5, 2022","Thursday, Jan 6, 2022",2022-01-05 22:13:00,2022-01-06 07:18:00,09:05:00,00:35:00,00:00:00,1,08:30:00,07:38:08,93.6,92.7,06:47:16,05:48:47,03:05:27,02:29:18,58.2,62.8,72.7,70.1,60.0,56.3,,,28,30,,,,,,,,
2022-01-07T20:59:59-07:00,"Thursday, Jan 6, 2022","Friday, Jan 7, 2022",2022-01-06 22:16:00,2022-01-07 07:30:00,09:56:00,01:02:00,00:00:00,2,08:54:00,08:00:42,88.8,93.1,05:42:51,05:51:47,01:29:27,02:27:13,62.0,63.1,71.6,70.4,57.0,55.9,20,22,26,30,,,,,,,,
2022-01-08T20:59:59-07:00,"Friday, Jan 7, 2022","Saturday, Jan 8, 2022",2022-01-07 22:45:00,2022-01-08 03:15:00,04:30:00,00:00:00,00:00:00,1,04:30:00,07:28:08,100.0,94.1,03:29:19,05:21:19,,,69.9,64.6,69.6,70.2,69.0,57.3,,,22,30,,,,,,,,
2022-01-09T20:59:59-07:00,"Saturday, Jan 8, 2022","Sunday, Jan 9, 2022",2022-01-08 22:40:00,2022-01-09 07:27:00,08:47:00,01:20:00,00:00:00,1,07:27:00,07:29:42,84.8,93.4,05:43:49,05:34:45,02:07:43,02:25:19,58.3,59.9,68.8,69.5,58.0,59.4,59,34,34,31,,,,,,,,
2022-01-10T20:59:59-07:00,"Sunday, Jan 9, 2022","Monday, Jan 10, 2022",2022-01-09 21:57:00,2022-01-10 06:49:00,08:52:00,01:05:00,00:00:00,1,07:47:00,07:26:51,87.8,92.5,06:44:32,05:45:09,03:06:48,02:23:06,59.1,60.2,73.3,70.7,56.6,58.5,36,35,25,31,,,,,,,,
2022-01-11T20:59:59-07:00,"Monday, Jan 10, 2022","Tuesday, Jan 11, 2022",2022-01-10 21:46:00,2022-01-11 06:25:00,09:15:00,00:42:00,00:00:00,2,08:33:00,07:30:51,91.9,92.2,06:10:56,05:44:14,01:47:43,02:21:05,65.6,61.6,72.3,71.0,61.0,59.7,30,34,24,28,,,,,,,,
2022-01-12T20:59:59-07:00,"Tuesday, Jan 11, 2022","Wednesday, Jan 12, 2022",2022-01-11 21:02:00,2022-01-12 07:04:00,10:02:00,01:17:00,00:00:00,1,08:45:00,07:46:34,87.2,90.6,06:04:50,05:49:05,02:30:00,02:27:22,59.3,61.8,76.3,72.1,59.0,60.1,33,34,27,27,,,,,,,,
2022-01-13T20:59:59-07:00,"Wednesday, Jan 12, 2022","Thursday, Jan 13, 2022",2022-01-12 23:24:00,2022-01-13 07:46:00,08:22:00,00:14:00,00:00:00,1,08:08:00,07:43:25,97.2,91.1,06:47:28,05:49:07,03:27:02,02:30:35,58.5,61.8,72.1,72.0,58.0,59.8,,,38,28,,,,,,,,
2022-01-14T20:59:59-07:00,"Thursday, Jan 13, 2022","Friday, Jan 14, 2022",2022-01-13 21:15:00,2022-01-14 07:07:00,09:52:00,01:09:00,00:00:00,1,08:43:00,07:41:51,88.3,91.0,06:15:44,05:53:48,02:18:26,02:23:52,58.8,61.4,,,58.0,59.9,55,37,28,28,,,,,,,,
2022-01-16T20:59:59-07:00,"Saturday, Jan 15, 2022","Sunday, Jan 16, 2022",2022-01-15 21:35:00,2022-01-16 08:02:00,10:27:00,02:32:00,00:00:00,1,07:55:00,08:11:08,75.8,87.6,05:31:52,06:11:19,01:16:37,02:22:02,62.7,60.3,69.6,72.4,60.0,58.7,26,37,30,29,,,,,,,,
